"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","gene_symbol","classification"
"ENSG00000057019.16",2662.46061753175,0.672210633179997,0.232063781732183,2.89675548245298,0.00377043501443734,0.0456933688121243,"ENSG00000057019","DCBLD2","Upregulated"
"ENSG00000059769.20",376.549027574983,0.442608147563197,0.125712824284177,3.52064340008021,0.000430501143940653,0.0114235192929739,"ENSG00000059769","DNAJC25","Upregulated"
"ENSG00000060642.11",630.118266154167,0.43140212510897,0.1202337220315,3.58795405413391,0.000333283001770212,0.00956314909864097,"ENSG00000060642","PIGV","Upregulated"
"ENSG00000061455.11",37.8396445584067,0.800045479083806,0.236187797767239,3.38574849714001,0.000709844079311296,0.0158722406548465,"ENSG00000061455","PRDM6","Upregulated"
"ENSG00000062598.18",3187.29093993608,0.271543829685559,0.0896029424051059,3.03051025116748,0.00244140899197306,0.0349041936865144,"ENSG00000062598","ELMO2","Upregulated"
"ENSG00000062822.15",975.405690474636,-0.618387496214304,0.161325818365728,-3.83317012235382,0.000126502403400695,0.00515376979071989,"ENSG00000062822","POLD1","Downregulated"
"ENSG00000063244.13",8277.9851908999,-0.310396873148826,0.0850469216552757,-3.64971040653736,0.000262536119786715,0.00824308434743943,"ENSG00000063244","U2AF2","Downregulated"
"ENSG00000064042.18",3066.24830033087,0.423997068614731,0.138463555809124,3.06214211902523,0.00219759086579723,0.0328652180104388,"ENSG00000064042","LIMCH1","Upregulated"
"ENSG00000064199.7",317.276114149939,0.609694882620038,0.186778295387141,3.26415660587605,0.00109790461567538,0.0211412397106373,"ENSG00000064199","SPA17","Upregulated"
"ENSG00000065154.12",2477.20625806624,0.37948077131612,0.094865419267433,4.00019130622838,6.32912981418015e-05,0.00332945539435424,"ENSG00000065154","OAT","Upregulated"
"ENSG00000065268.11",2003.2228359375,-0.448088004343027,0.143509482952422,-3.1223504759373,0.00179413215407775,0.0289329827331757,"ENSG00000065268","WDR18","Downregulated"
"ENSG00000065361.16",1019.25887162214,-0.998713821887912,0.299686006777005,-3.33500834399705,0.000852968398167619,0.0179105444111037,"ENSG00000065361","ERBB3","Downregulated"
"ENSG00000065923.10",1137.37202691506,0.527299110617751,0.159618391085598,3.30348420514503,0.000954913485771951,0.0193076046906165,"ENSG00000065923","SLC9A7","Upregulated"
"ENSG00000065978.19",26613.1121973686,-0.501206978821939,0.123843346070067,-4.04710731603609,5.18544713828265e-05,0.00290627350357767,"ENSG00000065978","YBX1","Downregulated"
"ENSG00000066032.18",3194.14064065483,0.842154392687868,0.219031216740814,3.84504067964925,0.000120532441142513,0.00500576904107791,"ENSG00000066032","CTNNA2","Upregulated"
"ENSG00000066044.15",3782.60287622652,-0.26747012047425,0.0835069551332349,-3.2029640887302,0.0013602094147798,0.0242484419156792,"ENSG00000066044","ELAVL1","Downregulated"
"ENSG00000066117.15",3981.96713047637,-0.339605441951979,0.114467465732481,-2.96682444470714,0.00300892710612066,0.0397439619315267,"ENSG00000066117","SMARCD1","Downregulated"
"ENSG00000066185.13",185.985617716291,1.09492243812436,0.234591568771686,4.66720800495672,3.05320198827209e-06,0.000414254577458546,"ENSG00000066185","ZMYND12","Upregulated"
"ENSG00000067177.15",1233.79858981816,0.508767461754387,0.12594943299216,4.03942970793508,5.35813224286605e-05,0.00298077171247381,"ENSG00000067177","PHKA1","Upregulated"
"ENSG00000067208.14",1142.58886388501,0.433247476115541,0.100187869434187,4.32432527161973,1.5299941225587e-05,0.00127694328838007,"ENSG00000067208","EVI5","Upregulated"
"ENSG00000067365.15",585.991716920147,-0.29601960719771,0.0903251297369739,-3.27723190148949,0.00104830231722219,0.0205536314679722,"ENSG00000067365","METTL22","Downregulated"
"ENSG00000067829.19",2802.10551197456,-0.241291096341839,0.0725397239763134,-3.32633415283793,0.000879963681793599,0.0183169585255554,"ENSG00000067829","IDH3G","Downregulated"
"ENSG00000067992.16",1494.64362852203,0.504328375954685,0.155454903279653,3.24419668100378,0.00117782386963287,0.0220869598067178,"ENSG00000067992","PDK3","Upregulated"
"ENSG00000068366.20",1857.85351700138,0.72979809968278,0.150714313878274,4.84225570786673,1.28373413461553e-06,0.000236151951082495,"ENSG00000068366","ACSL4","Upregulated"
"ENSG00000068724.17",1644.79393296668,0.336842020864583,0.116128444973379,2.90058764891522,0.00372463656057348,0.0453996858816243,"ENSG00000068724","TTC7A","Upregulated"
"ENSG00000068976.14",363.403687391174,0.800660557223079,0.251607459879089,3.18240749396629,0.00146056164570751,0.0252420408913774,"ENSG00000068976","PYGM","Upregulated"
"ENSG00000069020.18",955.366264753357,0.448669445274027,0.150200412772217,2.98711606672667,0.00281622780494089,0.0381067647703757,"ENSG00000069020","MAST4","Upregulated"
"ENSG00000069431.11",428.949078987327,0.632112003617149,0.202055672543071,3.12836159066711,0.00175783780087956,0.0285684371053515,"ENSG00000069431","ABCC9","Upregulated"
"ENSG00000069535.14",10910.256421971,0.718545418446264,0.216513235727224,3.31879769768666,0.000904058997532516,0.0186054969396105,"ENSG00000069535","MAOB","Upregulated"
"ENSG00000069974.16",597.801198343413,0.815694870339133,0.208704184634884,3.90840349898864,9.29080437893173e-05,0.00421459560215231,"ENSG00000069974","RAB27A","Upregulated"
"ENSG00000069998.12",2703.68064750628,-0.586141595497432,0.14279124003263,-4.10487931378539,4.04526011207455e-05,0.00243568523013163,"ENSG00000069998","HDHD5","Downregulated"
"ENSG00000070423.18",1595.27712080369,-0.323370855503229,0.101546857080163,-3.18444428149161,0.00145032228549875,0.0251520611513477,"ENSG00000070423","RNF126","Downregulated"
"ENSG00000070540.13",711.182709195502,0.470718209141716,0.155874470547436,3.01985598275938,0.00252894906246781,0.0355511193802613,"ENSG00000070540","WIPI1","Upregulated"
"ENSG00000070729.14",5.77917233915862,0.993915855418851,0.316011203484926,3.13787012307495,0.00170180264953742,0.0280514205790591,"ENSG00000070729","CNGB1","Upregulated"
"ENSG00000070731.11",30.5992243516853,1.34646813273777,0.255249291698574,5.27375585117567,1.33659696485018e-07,5.72540857014753e-05,"ENSG00000070731","ST6GALNAC2","Upregulated"
"ENSG00000070748.19",17.9694140759447,-1.01982586273554,0.347028524319926,-2.94914280366081,0.00318656695627415,0.0413962641737673,"ENSG00000070748","CHAT","Downregulated"
"ENSG00000070759.17",152.721584376214,0.406101935596087,0.135389236066487,2.99948272497669,0.00270438459141252,0.0371465744267084,"ENSG00000070759","TESK2","Upregulated"
"ENSG00000070882.13",1889.21503190147,0.523869761061643,0.168504456251246,3.10892070759539,0.0018777210384855,0.0299009375140668,"ENSG00000070882","OSBPL3","Upregulated"
"ENSG00000071539.14",584.863021522128,-0.553011403971411,0.173864445366631,-3.18068555347269,0.00146927013003836,0.0253436292686224,"ENSG00000071539","TRIP13","Downregulated"
"ENSG00000071564.17",4309.84318045527,-0.463498345496533,0.150183534164463,-3.08620600698998,0.00202728312963733,0.0313017286312427,"ENSG00000071564","TCF3","Downregulated"
"ENSG00000071967.12",5339.24136208891,0.819440388321232,0.17853744408133,4.58976923363369,4.43736310656956e-06,0.00055016275551699,"ENSG00000071967","CYBRD1","Upregulated"
"ENSG00000071991.9",209.452023380743,-0.187765317181442,0.320718834195246,-3.22180202715532,0.00127387121837377,0.0232200781051292,"ENSG00000071991","CDH19","Downregulated"
"ENSG00000072163.20",2151.48676024905,-1.03999941551697,0.313405334182101,-3.32274985551144,0.000891348058940294,0.018445183952605,"ENSG00000072163","LIMS2","Downregulated"
"ENSG00000072422.17",602.29528565069,0.409417234471858,0.111773821047948,3.66289141399664,0.00024938427215962,0.00793820318546305,"ENSG00000072422","RHOBTB1","Upregulated"
"ENSG00000072657.9",19.6167258069638,0.939062059949557,0.307864568123637,3.05211356639634,0.00227236109974651,0.0335153701799799,"ENSG00000072657","TRHDE","Upregulated"
"ENSG00000072682.19",1083.41754888577,0.661638848452964,0.231848331274634,2.85382219573701,0.004319670037023,0.0494560160596162,"ENSG00000072682","P4HA2","Upregulated"
