"","gene1","gene2","correlation","pvalue","status"
"15929","PRNP","ZIC2",-0.00265783879251086,0.85822045695224,"Non-significant"
"15930","PRNP","EPN2-IT1",-0.00265893046102043,0.858162840072968,"Non-significant"
"15931","PRNP","RIC8B",-0.0026604075665746,0.858084881517763,"Non-significant"
"15932","PRNP","DYNC1I1",-0.00266527723040053,0.85782788060457,"Non-significant"
"15933","PRNP","HIST1H4K",-0.00266813564083316,0.857677032422727,"Non-significant"
"15934","PRNP","C7orf43",-0.00266862036845698,0.857651452188478,"Non-significant"
"15935","PRNP","LOC648987",-0.00267312423193676,0.85741377970547,"Non-significant"
"15936","PRNP","PABPC3",-0.00267338499345861,0.857400019506645,"Non-significant"
"15937","PRNP","SRRM3",-0.00267559857349289,0.857283212218091,"Non-significant"
"15938","PRNP","SYTL5",-0.00268409257355376,0.856835025629052,"Non-significant"
"15939","PRNP","NMRK1",-0.00268513826174996,0.856779852995285,"Non-significant"
"15940","PRNP","OR10J1",-0.00269245212337648,0.856393978369733,"Non-significant"
"15941","PRNP","LOC100505817",-0.00269759564245999,0.856122630164043,"Non-significant"
"15942","PRNP","THSD7B",-0.00269763016676055,0.856120808879515,"Non-significant"
"15943","PRNP","PAWR",-0.00270683520064836,0.855635236661058,"Non-significant"
"15944","PRNP","MIR2278",-0.00270948191142142,0.855495630851978,"Non-significant"
"15945","PRNP","MIR4723",-0.00271082954578721,0.855424549043174,"Non-significant"
"15946","PRNP","C7orf71",-0.00271247418132945,0.855337803312381,"Non-significant"
"15947","PRNP","PF4",-0.00271563895893559,0.855170883134006,"Non-significant"
"15948","PRNP","IL1RL1",-0.00272072457648491,0.854902665477412,"Non-significant"
"15949","PRNP","MIR4269",-0.00272228402136067,0.854820423040092,"Non-significant"
"15950","PRNP","HSD17B3",-0.0027225023068222,0.854808911166525,"Non-significant"
"15951","PRNP","HSPA1A",-0.00272937335364485,0.854446563753166,"Non-significant"
"15952","PRNP","ACTG2",-0.00272979511292757,0.854424323106884,"Non-significant"
"15953","PRNP","PSAPL1",-0.00272998249314445,0.854414442016775,"Non-significant"
"15954","PRNP","SLC6A1-AS1",-0.00273504422196035,0.85414753134671,"Non-significant"
"15955","PRNP","POLR3B",-0.00273839248877315,0.853970982628816,"Non-significant"
"15956","PRNP","RGS18",-0.00274661619744736,0.853537390756012,"Non-significant"
"15957","PRNP","LOC100130557",-0.0027534550822315,0.853176846866313,"Non-significant"
"15958","PRNP","RSBN1L-AS1",-0.00275970898133952,0.852847170076141,"Non-significant"
"15959","PRNP","SECTM1",-0.00275979882495792,0.852842434120983,"Non-significant"
"15960","PRNP","MIR137HG",-0.00276049414489336,0.852805781679994,"Non-significant"
"15961","PRNP","LY6D",-0.0027678916693777,0.852415855219178,"Non-significant"
"15962","PRNP","TMIE",-0.00276853935616034,0.852381717106193,"Non-significant"
"15963","PRNP","OR2D2",-0.00277525061374117,0.852027998104335,"Non-significant"
"15964","PRNP","KRT74",-0.00278369738725384,0.851582850468631,"Non-significant"
"15965","PRNP","WNT5B",-0.00278889136684039,0.85130914956093,"Non-significant"
"15966","PRNP","PCDHGB5",-0.00279092672233699,0.85120189975637,"Non-significant"
"15967","PRNP","KRTAP29-1",-0.00279690219968529,0.850887047431573,"Non-significant"
"15968","PRNP","OR9I1",-0.00279753698983238,0.850853601264243,"Non-significant"
"15969","PRNP","LOC255411",-0.00280417388033065,0.85050392925416,"Non-significant"
"15970","PRNP","FGF4",-0.00280573483340428,0.850421692959261,"Non-significant"
"15971","PRNP","PAR4",-0.00281478399038856,0.849944984792963,"Non-significant"
"15972","PRNP","EOMES",-0.00282013919310569,0.849662899371701,"Non-significant"
"15973","PRNP","PKHD1",-0.00282113944829345,0.849610213038848,"Non-significant"
"15974","PRNP","OR7E24",-0.00282548917565939,0.849381108132963,"Non-significant"
"15975","PRNP","SLC17A2",-0.00282742569652618,0.849279113546828,"Non-significant"
"15976","PRNP","ZNF705B",-0.00282934060177782,0.849178259913087,"Non-significant"
"15977","PRNP","SEBOX",-0.00282998968677611,0.849144074666333,"Non-significant"
"15978","PRNP","CCDC81",-0.00283167181894108,0.849055483423961,"Non-significant"
"15979","PRNP","KIF4A",-0.00283339647215484,0.84896465474481,"Non-significant"
"15980","PRNP","HMMR",-0.00283374971910569,0.848946051278772,"Non-significant"
"15981","PRNP","PCNAP1",-0.00283479363244264,0.848891074915541,"Non-significant"
"15982","PRNP","GLIPR1L1",-0.00283502007503701,0.848879149702348,"Non-significant"
"15983","PRNP","ZNF252P-AS1",-0.0028432633316626,0.848445056203975,"Non-significant"
"15984","PRNP","KIF25",-0.00285822387293628,0.847657345005765,"Non-significant"
"15985","PRNP","UBAP1L",-0.00286257214149275,0.847428425912228,"Non-significant"
"15986","PRNP","FGL1",-0.00286259873075756,0.847427026132457,"Non-significant"
"15987","PRNP","ZNF33B",-0.00287681681951927,0.846678590334456,"Non-significant"
"15988","PRNP","KLK14",-0.00287753061253756,0.846641020129278,"Non-significant"
