"","gene1","gene2","correlation","pvalue","status"
"20642","PRNP","RPS6",-0.0733303753628372,0.0154094983322254,"Negative correlation"
"20643","PRNP","KLHL23",-0.0734086518213064,0.0152998668174445,"Negative correlation"
"20644","PRNP","CCDC167",-0.0734613124408979,0.015226498423864,"Negative correlation"
"20645","PRNP","FLJ37453",-0.0737195084193076,0.0148712309305347,"Negative correlation"
"20646","PRNP","EIF1",-0.0739595128088105,0.0145475564226277,"Negative correlation"
"20647","PRNP","DDX18",-0.0740201384738782,0.0144667833279998,"Negative correlation"
"20648","PRNP","HIST1H2AL",-0.0740467837935883,0.0144314082129887,"Negative correlation"
"20649","PRNP","LOC100216545",-0.0742465749116433,0.0141685780730707,"Negative correlation"
"20650","PRNP","NDUFA12",-0.0742795564377679,0.0141255980886355,"Negative correlation"
"20651","PRNP","HSD17B7",-0.0746287744404722,0.0136775148351531,"Negative correlation"
"20652","PRNP","POMP",-0.074676463715911,0.0136173077994411,"Negative correlation"
"20653","PRNP","TPT1",-0.0747096203903541,0.0135755858673991,"Negative correlation"
"20654","PRNP","FAM188B",-0.0748220179404489,0.0134349909579515,"Negative correlation"
"20655","PRNP","DPY19L2P4",-0.0748387514082934,0.0134141698043275,"Negative correlation"
"20656","PRNP","SPATA17",-0.0749192600812768,0.013314391914654,"Negative correlation"
"20657","PRNP","BTAF1",-0.0751653122754756,0.0130134978008926,"Negative correlation"
"20658","PRNP","LOC220906",-0.0753085589791159,0.012841103357733,"Negative correlation"
"20659","PRNP","TGIF1",-0.075426194988698,0.0127010431410805,"Negative correlation"
"20660","PRNP","LOC100499405",-0.0755566817403786,0.0125472636789513,"Negative correlation"
"20661","PRNP","NDUFB1",-0.0755608545800954,0.0125423732434687,"Negative correlation"
"20662","PRNP","COL22A1",-0.0757170281950583,0.0123605504576005,"Negative correlation"
"20663","PRNP","VEGFA",-0.0757438976773516,0.0123295042420865,"Negative correlation"
"20664","PRNP","LINC00116",-0.0757725628016561,0.0122964593302565,"Negative correlation"
"20665","PRNP","CCT8",-0.0758196170495176,0.0122423854440608,"Negative correlation"
