"","population","fc","mean.p","mean.np","pval","p.adj","gene"
"AGTRAP","PRNP_positive_cells",0.223107380166133,0.757863859876514,0.53475647971038,0,0,"AGTRAP"
"MTHFR","PRNP_negative_cells",0.0689410840604464,0.196329980860688,0.127388896800242,3.22198600574394e-58,3.24196231897955e-54,"MTHFR"
"KIAA2013","PRNP_negative_cells",0.247917550753823,0.699652523483544,0.451734972729721,8.50711268664948e-91,8.55985678530671e-87,"KIAA2013"
"PLOD1","PRNP_positive_cells",0.00592850619462593,0.436738413096829,0.430809906902203,8.13404101167704e-194,8.18447206594944e-190,"PLOD1"
"MFN2","PRNP_negative_cells",0.140035700460536,0.377769030956699,0.237733330496163,6.16587549898183e-76,6.20410392707552e-72,"MFN2"
"MIIP","PRNP_positive_cells",0.0570539295735188,0.387279278718314,0.330225349144795,3.79463695109749e-203,3.8181637001943e-199,"MIIP"
"VPS13D","PRNP_positive_cells",0.0137369615644087,0.346679484357743,0.332942522793334,3.49682782815091e-122,3.51850816068544e-118,"VPS13D"
"DHRS3","PRNP_positive_cells",0.43078034902031,1.08874018619669,0.657959837176379,0,0,"DHRS3"
"C1orf158","PRNP_positive_cells",0.165813839704286,0.403987306084373,0.238173466380087,5.18941955547314e-183,5.22159395671707e-179,"C1orf158"
"PDPN","PRNP_positive_cells",0.155550794645567,1.26290954433697,1.1073587496914,5.60915338092803e-233,5.64393013188978e-229,"PDPN"
"PRDM2","PRNP_negative_cells",0.0774885314117086,0.34139743930935,0.263908907897641,1.15181451316624e-92,1.15895576314787e-88,"PRDM2"
"KAZN","PRNP_negative_cells",0.0468334077253809,0.543828874312828,0.496995466587447,1.43684633136695e-152,1.44575477862142e-148,"KAZN"
"TMEM51","PRNP_negative_cells",0.00727605583834198,0.163940061799342,0.156664005961,2.42603131807291e-90,2.44107271224496e-86,"TMEM51"
"FHAD1","PRNP_positive_cells",0.0415351912582559,0.213054767612839,0.171519576354583,1.06812039497384e-127,1.07474274142268e-123,"FHAD1"
"EFHD2","PRNP_negative_cells",0.0223082603972356,0.378561821786346,0.35625356138911,1.6715885131463e-147,1.68195236192781e-143,"EFHD2"
"CASP9","PRNP_negative_cells",0.033644258470989,0.175637354165638,0.141993095694649,2.50066444715077e-69,2.5161685667231e-65,"CASP9"
"DNAJC16","PRNP_negative_cells",0.0858187895868684,0.262463264088303,0.176644474501435,3.34243992860922e-63,3.3631630561666e-59,"DNAJC16"
"PLEKHM2","PRNP_negative_cells",0.16244583444574,0.350144359791867,0.187698525346127,3.85697698784862e-47,3.88089024517328e-43,"PLEKHM2"
"UQCRHL","PRNP_negative_cells",0.0417322023501265,0.22721199306438,0.185479790714254,2.30746326559022e-70,2.32176953783688e-66,"UQCRHL"
"FLJ37453","PRNP_negative_cells",0.184179820304571,0.441415823455755,0.257236003151183,1.24333307413122e-40,1.25104173919083e-36,"FLJ37453"
"SPEN","PRNP_negative_cells",0.140157757884142,0.453605647438552,0.31344788955441,4.29982159346583e-83,4.32648048734531e-79,"SPEN"
"ZBTB17","PRNP_negative_cells",0.0370574866560186,0.245461207795607,0.208403721139588,4.99384153609223e-111,5.02480335361601e-107,"ZBTB17"
"FBXO42","PRNP_negative_cells",0.0893058206581363,0.291114183428228,0.201808362770092,7.37908259618082e-85,7.42483290827714e-81,"FBXO42"
"SZRD1","PRNP_negative_cells",0.031186849461809,0.499266825646515,0.468079976184706,7.03242877100118e-178,7.07602982938139e-174,"SZRD1"
"NECAP2","PRNP_positive_cells",0.0200043252730854,0.7109887608964,0.690984435623315,2.42269702534281e-257,2.43771774689993e-253,"NECAP2"
"NBPF1","PRNP_negative_cells",0.0934268479335742,0.277563678067457,0.184136830133883,1.44808234972591e-67,1.45706046029421e-63,"NBPF1"
"CROCC","PRNP_negative_cells",0.188786505315649,0.36147690315924,0.172690397843592,2.23905276857463e-38,2.2529348957398e-34,"CROCC"
"RP11-108M9.4","PRNP_negative_cells",0.122887011038005,0.402012896290814,0.279125885252809,5.93370885393764e-72,5.97049784883205e-68,"RP11-108M9.4"
"ATP13A2","PRNP_positive_cells",0.0321490155477549,0.30397753380084,0.271828518253085,1.27520021044961e-172,1.2831064517544e-168,"ATP13A2"
"SDHB","PRNP_positive_cells",0.138620689866458,0.886567510275951,0.747946820409492,5.71826476062648e-298,5.75371800214236e-294,"SDHB"
"PADI2","PRNP_positive_cells",0.252512566083582,0.733085015282033,0.48057244919845,1.92581372778333e-116,1.93775377289558e-112,"PADI2"
"RCC2","PRNP_negative_cells",0.207425527357244,0.425792418657645,0.218366891300401,1.7752168878345e-29,1.78622323253908e-25,"RCC2"
"ARHGEF10L","PRNP_negative_cells",0.0310857794197472,0.225841353488119,0.194755574068371,2.664984739128e-81,2.6815076445106e-77,"ARHGEF10L"
"ALDH4A1","PRNP_negative_cells",0.00390153317293446,0.274684616733646,0.270783083560712,3.90309543592613e-126,3.92729462762887e-122,"ALDH4A1"
"UBR4","PRNP_negative_cells",0.166044467162079,0.401247065641501,0.235202598479422,1.68309480519157e-57,1.69352999298376e-53,"UBR4"
"EMC1","PRNP_negative_cells",0.0835276980038401,0.293753168961566,0.210225470957726,1.44056457172358e-88,1.44949607206826e-84,"EMC1"
"MRTO4","PRNP_positive_cells",0.0149211357845773,0.497901149354087,0.482980013569509,2.54208952185443e-212,2.55785047688993e-208,"MRTO4"
"AKR7A2","PRNP_positive_cells",0.13879905531755,1.11693920678111,0.978140151463557,1.89916972243928e-294,1.91094457471841e-290,"AKR7A2"
"PQLC2","PRNP_positive_cells",0.0251671222389539,0.247036667314728,0.221869545075774,4.43862269270897e-149,4.46614215340376e-145,"PQLC2"
"CAPZB","PRNP_positive_cells",0.070776250839433,1.32756508633181,1.25678883549238,1.60950554718269e-227,1.61948448157523e-223,"CAPZB"
"MINOS1","PRNP_positive_cells",0.105509875461952,1.8585480930525,1.75303821759055,6.39290889914889e-168,6.43254493432362e-164,"MINOS1"
"TMCO4","PRNP_positive_cells",0.0545082724604875,0.129341113910926,0.074832841450438,8.28493786359122e-113,8.33630447834549e-109,"TMCO4"
"PLA2G5","PRNP_positive_cells",0.275974824633516,0.411463671504036,0.135488846870519,4.85611507305512e-303,4.88622298650807e-299,"PLA2G5"
"CAMK2N1","PRNP_negative_cells",0.10333852781791,0.908373246663041,0.805034718845132,1.28173659006189e-121,1.28968335692027e-117,"CAMK2N1"
