"","gene1","gene2","correlation","pvalue","status"
"12094","PRNP","KLHL17",0.0134649005213847,0.130684054488293,"Non-significant"
"12095","PRNP","LINC01109",0.0134616258282828,0.130777682833316,"Non-significant"
"12096","PRNP","ANGEL1",0.0134410304592924,0.131367728035047,"Non-significant"
"12097","PRNP","RP3-394A18.1",0.0134405893313086,0.131380388628471,"Non-significant"
"12098","PRNP","PPP2R3A",0.0134370623634861,0.131481648380889,"Non-significant"
"12099","PRNP","RPL17-C18orf32",0.0134361128799142,0.131508918522196,"Non-significant"
"12100","PRNP","GPRIN3",0.0134300440772016,0.131683324324671,"Non-significant"
"12101","PRNP","LINC00664",0.0134205250140292,0.131957245020655,"Non-significant"
"12102","PRNP","TIAM2",0.0134184589821978,0.132016755445657,"Non-significant"
"12103","PRNP","FAM76B",0.0134156177287124,0.132098629477453,"Non-significant"
"12104","PRNP","HIST2H2AA4",0.0134035019812964,0.132448200423196,"Non-significant"
"12105","PRNP","BAG4",0.0133968909762317,0.132639247048325,"Non-significant"
"12106","PRNP","RNF139-AS1",0.013396784928027,0.132642313396138,"Non-significant"
"12107","PRNP","SNAI1",0.0133956251738642,0.132675850876262,"Non-significant"
"12108","PRNP","MERTK",0.0133858470612755,0.13295887297458,"Non-significant"
"12109","PRNP","NNT",0.0133852464419174,0.132976272795112,"Non-significant"
"12110","PRNP","GTSF1",0.0133798064853513,0.13313394751696,"Non-significant"
"12111","PRNP","FYCO1",0.0133730483609779,0.133330030242332,"Non-significant"
"12112","PRNP","FRMD8",0.0133723595347988,0.133350028643686,"Non-significant"
"12113","PRNP","FAM13B",0.013370369424026,0.133407819734895,"Non-significant"
"12114","PRNP","CFP",0.0133589881282641,0.133738695095922,"Non-significant"
"12115","PRNP","ETFDH",0.0133551758113245,0.133849668030603,"Non-significant"
"12116","PRNP","PACERR",0.0133533345571158,0.133903290696468,"Non-significant"
"12117","PRNP","CYP2R1",0.0133511011148611,0.13396835731516,"Non-significant"
"12118","PRNP","CTDSP2",0.0133464004933567,0.134105379872239,"Non-significant"
"12119","PRNP","CH507-42P11.8",0.013343945139414,0.134176996223706,"Non-significant"
"12120","PRNP","RP11-165A20.3",0.0133387438649755,0.134328801676891,"Non-significant"
"12121","PRNP","FAM111A",0.0133297815693796,0.134590688544824,"Non-significant"
"12122","PRNP","MBD6",0.0133257071587628,0.134709877142898,"Non-significant"
"12123","PRNP","RP11-49I11.1",0.013323018990646,0.134788558690601,"Non-significant"
"12124","PRNP","PANK1",0.0133125327558126,0.135095825900736,"Non-significant"
"12125","PRNP","ASH1L-AS1",0.0132869390490637,0.135848043857295,"Non-significant"
"12126","PRNP","RP11-443B7.1",0.0132840544209539,0.135933027595678,"Non-significant"
"12127","PRNP","RP11-185E8.1",0.0132665195521588,0.136450503960654,"Non-significant"
"12128","PRNP","KLRG1",0.0132624494872024,0.136570833879104,"Non-significant"
"12129","PRNP","TRAK2",0.0132576817293243,0.136711894940779,"Non-significant"
"12130","PRNP","LMNTD1",0.0132536531814363,0.136831172994491,"Non-significant"
"12131","PRNP","CPT1A",0.01323661694312,0.137336473144503,"Non-significant"
"12132","PRNP","MALT1",0.013230815135922,0.137508884620962,"Non-significant"
"12133","PRNP","TYW5",0.0132262617251018,0.137644314520632,"Non-significant"
"12134","PRNP","RAI14",0.0132197408717034,0.137838440150039,"Non-significant"
"12135","PRNP","TMEM245",0.0132091709985926,0.138153553147593,"Non-significant"
"12136","PRNP","SF3B1",0.0132012838093973,0.138389050395874,"Non-significant"
"12137","PRNP","CFAP99.1",0.0131981065801975,0.138484004066944,"Non-significant"
"12138","PRNP","RASGRF1",0.0131934957217772,0.138621891984569,"Non-significant"
"12139","PRNP","TNFAIP8L3",0.0131916022850648,0.138678545909732,"Non-significant"
"12140","PRNP","B4GALT1",0.0131893735830339,0.138745254227657,"Non-significant"
"12141","PRNP","SETMAR",0.013183914804508,0.138908747860664,"Non-significant"
"12142","PRNP","SP3",0.0131817723495136,0.138972956173968,"Non-significant"
"12143","PRNP","NCBP3",0.0131802431550386,0.139018799348982,"Non-significant"
"12144","PRNP","SIPA1L3",0.0131721330845372,0.139262122907432,"Non-significant"
"12145","PRNP","ZNF526",0.0131641130466578,0.139503067528855,"Non-significant"
"12146","PRNP","TMCC1-AS1",0.0131327338144429,0.140448872794769,"Non-significant"
"12147","PRNP","BEND3",0.0131311602556538,0.140496431144265,"Non-significant"
"12148","PRNP","ZFYVE27",0.0131242709907167,0.140704794190249,"Non-significant"
