"","correlation","pvalue","tumor","stage","process"
"clathrin coated vesicle45","0.545454545454545","0.0666118822668891","HNSC","IVB","clathrin coated vesicle"
"copi coated vesicle45","0.545454545454545","0.0666118822668891","HNSC","IVB","copi coated vesicle"
"vesicle tethering45","0.146853146853147","0.648795709784666","HNSC","IVB","vesicle tethering"
"intercellular transport45","0.342657342657343","0.27556745095678","HNSC","IVB","intercellular transport"
"regulation of vesicle fusion45","0.041958041958042","0.896985870819554","HNSC","IVB","regulation of vesicle fusion"
"coated vesicle28","0.131174838112858","0.384874403703717","ESCA","IIA","coated vesicle"
"endocytic vesicle28","0.105519580635214","0.485223954078903","ESCA","IIA","endocytic vesicle"
"phagocytic vesicle28","0.0135060129509713","0.929014131603593","ESCA","IIA","phagocytic vesicle"
"secretory vesicle28","0.0812210915818686","0.591546743864525","ESCA","IIA","secretory vesicle"
"vesicle cytoskeletal trafficking28","0.147209374036386","0.32892686637498","ESCA","IIA","vesicle cytoskeletal trafficking"
"exocytosis28","-0.0739438791242677","0.625281125663082","ESCA","IIA","exocytosis"
"endocytosis28","-0.0741905642923219","0.624124557097902","ESCA","IIA","endocytosis"
"secretion28","-0.115016959605304","0.446569929333238","ESCA","IIA","secretion"
"intracellular transport28","0.165094048720321","0.272881058440119","ESCA","IIA","intracellular transport"
"intracellular protein transport28","0.116127042861548","0.442165232662097","ESCA","IIA","intracellular protein transport"
"transport along microtubule28","0.105766265803269","0.484198338411116","ESCA","IIA","transport along microtubule"
"vesicle lumen28","0.128831329016343","0.393496413811417","ESCA","IIA","vesicle lumen"
"vesicle membrane28","0.0355843354918286","0.814381779735032","ESCA","IIA","vesicle membrane"
"vesicle organization28","0.127967930928153","0.396701185416066","ESCA","IIA","vesicle organization"
"vesicle targeting28","0.17804502004317","0.236486529957221","ESCA","IIA","vesicle targeting"
"vesicle docking28","0.111933395004625","0.458930793169447","ESCA","IIA","vesicle docking"
"clathrin coated vesicle28","0.0452050570459451","0.765466225554617","ESCA","IIA","clathrin coated vesicle"
"copi coated vesicle28","0.100462534690102","0.506496954749729","ESCA","IIA","copi coated vesicle"
"vesicle tethering28","0.0676534073388838","0.655068259156018","ESCA","IIA","vesicle tethering"
"intercellular transport28","0.429540548874499","0.00289168493347369","ESCA","IIA","intercellular transport"
"regulation of vesicle fusion28","0.0275670675300648","0.855694224496138","ESCA","IIA","regulation of vesicle fusion"
"coated vesicle112","0.119047619047619","0.77888572605238","ESCA","I","coated vesicle"
"endocytic vesicle112","0.0714285714285714","0.866526270675909","ESCA","I","endocytic vesicle"
"phagocytic vesicle112","0.142857142857143","0.735764859879812","ESCA","I","phagocytic vesicle"
"secretory vesicle112","0.0714285714285714","0.866526270675909","ESCA","I","secretory vesicle"
"vesicle cytoskeletal trafficking112","0.0714285714285714","0.866526270675909","ESCA","I","vesicle cytoskeletal trafficking"
"exocytosis112","0.238095238095238","0.570156320815768","ESCA","I","exocytosis"
"endocytosis112","0.119047619047619","0.77888572605238","ESCA","I","endocytosis"
"secretion112","0.19047619047619","0.651401495702482","ESCA","I","secretion"
"intracellular transport112","0.214285714285714","0.610344415645267","ESCA","I","intracellular transport"
"intracellular protein transport112","0.166666666666667","0.693238811728395","ESCA","I","intracellular protein transport"
"transport along microtubule112","0.357142857142857","0.385120643556256","ESCA","I","transport along microtubule"
"vesicle lumen112","0.0476190476190476","0.910849168519584","ESCA","I","vesicle lumen"
"vesicle membrane112","0.142857142857143","0.735764859879812","ESCA","I","vesicle membrane"
"vesicle organization112","0.19047619047619","0.651401495702482","ESCA","I","vesicle organization"
"vesicle targeting112","-0.19047619047619","0.651401495702482","ESCA","I","vesicle targeting"
"vesicle docking112","0.380952380952381","0.351812553117565","ESCA","I","vesicle docking"
"clathrin coated vesicle112","0.0476190476190476","0.910849168519584","ESCA","I","clathrin coated vesicle"
"copi coated vesicle112","0.214285714285714","0.610344415645267","ESCA","I","copi coated vesicle"
"vesicle tethering112","0.261904761904762","0.530922861565801","ESCA","I","vesicle tethering"
"intercellular transport112","0.476190476190476","0.232935534650098","ESCA","I","intercellular transport"
"regulation of vesicle fusion112","0.261904761904762","0.530922861565801","ESCA","I","regulation of vesicle fusion"
"coated vesicle29","0.4","0.286105101908313","ESCA","IIIB","coated vesicle"
"endocytic vesicle29","0.383333333333333","0.308495272380371","ESCA","IIIB","endocytic vesicle"
"phagocytic vesicle29","0.35","0.355819572501789","ESCA","IIIB","phagocytic vesicle"
"secretory vesicle29","0.45","0.224216107492337","ESCA","IIIB","secretory vesicle"
"vesicle cytoskeletal trafficking29","0.383333333333333","0.308495272380371","ESCA","IIIB","vesicle cytoskeletal trafficking"
"exocytosis29","0.45","0.224216107492337","ESCA","IIIB","exocytosis"
"endocytosis29","0.316666666666667","0.406397014486386","ESCA","IIIB","endocytosis"
"secretion29","0.433333333333333","0.243952435880052","ESCA","IIIB","secretion"
"intracellular transport29","0.733333333333333","0.0245541500714697","ESCA","IIIB","intracellular transport"
"intracellular protein transport29","0.716666666666667","0.0298180356958453","ESCA","IIIB","intracellular protein transport"
"transport along microtubule29","0.8","0.00962792472537988","ESCA","IIIB","transport along microtubule"
"vesicle lumen29","0.416666666666667","0.264586046747496","ESCA","IIIB","vesicle lumen"
"vesicle membrane29","0.383333333333333","0.308495272380371","ESCA","IIIB","vesicle membrane"
"vesicle organization29","0.35","0.355819572501789","ESCA","IIIB","vesicle organization"
"vesicle targeting29","0.233333333333333","0.545698778218273","ESCA","IIIB","vesicle targeting"
"vesicle docking29","0.0666666666666667","0.864689784626204","ESCA","IIIB","vesicle docking"
"clathrin coated vesicle29","0.433333333333333","0.243952435880052","ESCA","IIIB","clathrin coated vesicle"
"copi coated vesicle29","0.65","0.0580730580171487","ESCA","IIIB","copi coated vesicle"
"vesicle tethering29","0.133333333333333","0.732367505236297","ESCA","IIIB","vesicle tethering"
"intercellular transport29","0.7","0.0357695749702618","ESCA","IIIB","intercellular transport"
"regulation of vesicle fusion29","0.2","0.605901274179553","ESCA","IIIB","regulation of vesicle fusion"
"coated vesicle37","-0.125806451612903","0.5000806322359","ESCA","IIB","coated vesicle"
"endocytic vesicle37","0.153225806451613","0.410540494162181","ESCA","IIB","endocytic vesicle"
"phagocytic vesicle37","0.155645161290323","0.403100614002541","ESCA","IIB","phagocytic vesicle"
"secretory vesicle37","0.120161290322581","0.519655883139739","ESCA","IIB","secretory vesicle"
"vesicle cytoskeletal trafficking37","0.0225806451612903","0.904029775765577","ESCA","IIB","vesicle cytoskeletal trafficking"
"exocytosis37","0.00604838709677419","0.974238925683371","ESCA","IIB","exocytosis"
"endocytosis37","0.143145161290323","0.442359209287887","ESCA","IIB","endocytosis"
"secretion37","-0.00120967741935484","0.994846970870489","ESCA","IIB","secretion"
"intracellular transport37","-0.00362903225806452","0.984541726949143","ESCA","IIB","intracellular transport"
"intracellular protein transport37","-0.0645161290322581","0.730238229770924","ESCA","IIB","intracellular protein transport"
"transport along microtubule37","0.393548387096774","0.0284959065482606","ESCA","IIB","transport along microtubule"
"vesicle lumen37","0.114112903225806","0.541036496712592","ESCA","IIB","vesicle lumen"
"vesicle membrane37","-0.00725806451612903","0.969088949622032","ESCA","IIB","vesicle membrane"
"vesicle organization37","-0.0770161290322581","0.680486957357476","ESCA","IIB","vesicle organization"
"vesicle targeting37","0.0233870967741935","0.90061882146729","ESCA","IIB","vesicle targeting"
"vesicle docking37","-0.174596774193548","0.347521095443302","ESCA","IIB","vesicle docking"
"clathrin coated vesicle37","0.0262096774193548","0.888694551413986","ESCA","IIB","clathrin coated vesicle"
"copi coated vesicle37","-0.159274193548387","0.392085526904747","ESCA","IIB","copi coated vesicle"
"vesicle tethering37","-0.0274193548387097","0.883591291923629","ESCA","IIB","vesicle tethering"
"intercellular transport37","0.603225806451613","0.000328050009889003","ESCA","IIB","intercellular transport"
"regulation of vesicle fusion37","0.233467741935484","0.206219133340326","ESCA","IIB","regulation of vesicle fusion"
"coated vesicle46","0.0357142857142857","0.939408205471286","ESCA","IIIC","coated vesicle"
"endocytic vesicle46","0.214285714285714","0.64451158102072","ESCA","IIIC","endocytic vesicle"
"phagocytic vesicle46","0.107142857142857","0.819150855569991","ESCA","IIIC","phagocytic vesicle"
"secretory vesicle46","0.392857142857143","0.383316870426972","ESCA","IIIC","secretory vesicle"
"vesicle cytoskeletal trafficking46","0.0714285714285714","0.879048193148154","ESCA","IIIC","vesicle cytoskeletal trafficking"
"exocytosis46","0.214285714285714","0.64451158102072","ESCA","IIIC","exocytosis"
"endocytosis46","0.25","0.588724448089683","ESCA","IIIC","endocytosis"
"secretion46","0","1","ESCA","IIIC","secretion"
"intracellular transport46","0.107142857142857","0.819150855569991","ESCA","IIIC","intracellular transport"
"intracellular protein transport46","0.107142857142857","0.819150855569991","ESCA","IIIC","intracellular protein transport"
"transport along microtubule46","0.678571428571429","0.0937502539598314","ESCA","IIIC","transport along microtubule"
"vesicle lumen46","0.642857142857143","0.119392373427411","ESCA","IIIC","vesicle lumen"
"vesicle membrane46","0","1","ESCA","IIIC","vesicle membrane"
"vesicle organization46","0","1","ESCA","IIIC","vesicle organization"
"vesicle targeting46","0","1","ESCA","IIIC","vesicle targeting"
"vesicle docking46","0.107142857142857","0.819150855569991","ESCA","IIIC","vesicle docking"
"clathrin coated vesicle46","0","1","ESCA","IIIC","clathrin coated vesicle"
"copi coated vesicle46","0.0714285714285714","0.879048193148154","ESCA","IIIC","copi coated vesicle"
"vesicle tethering46","-0.0714285714285714","0.879048193148154","ESCA","IIIC","vesicle tethering"
"intercellular transport46","0.357142857142857","0.431611352038328","ESCA","IIIC","intercellular transport"
"regulation of vesicle fusion46","0.428571428571429","0.337368311085824","ESCA","IIIC","regulation of vesicle fusion"
"coated vesicle55","0.3","0.623837664781073","ESCA","IV","coated vesicle"
"endocytic vesicle55","0.4","0.504631575468691","ESCA","IV","endocytic vesicle"
"phagocytic vesicle55","0.4","0.504631575468691","ESCA","IV","phagocytic vesicle"
"secretory vesicle55","0.7","0.188120404374187","ESCA","IV","secretory vesicle"
"vesicle cytoskeletal trafficking55","0.3","0.623837664781073","ESCA","IV","vesicle cytoskeletal trafficking"
"exocytosis55","-0.8","0.104088038661828","ESCA","IV","exocytosis"
"endocytosis55","0","1","ESCA","IV","endocytosis"
"secretion55","-0.8","0.104088038661828","ESCA","IV","secretion"
"intracellular transport55","0.3","0.623837664781073","ESCA","IV","intracellular transport"
"intracellular protein transport55","0.3","0.623837664781073","ESCA","IV","intracellular protein transport"
"transport along microtubule55","0.5","0.39100221895577","ESCA","IV","transport along microtubule"
"vesicle lumen55","0.3","0.623837664781073","ESCA","IV","vesicle lumen"
"vesicle membrane55","0.5","0.39100221895577","ESCA","IV","vesicle membrane"
"vesicle organization55","-0.3","0.623837664781073","ESCA","IV","vesicle organization"
"vesicle targeting55","-0.2","0.747060078104662","ESCA","IV","vesicle targeting"
"vesicle docking55","0.1","0.872888571569538","ESCA","IV","vesicle docking"
"clathrin coated vesicle55","0.5","0.39100221895577","ESCA","IV","clathrin coated vesicle"
"copi coated vesicle55","0.7","0.188120404374187","ESCA","IV","copi coated vesicle"
"vesicle tethering55","0.8","0.104088038661828","ESCA","IV","vesicle tethering"
"intercellular transport55","0.8","0.104088038661828","ESCA","IV","intercellular transport"
"regulation of vesicle fusion55","0.3","0.623837664781073","ESCA","IV","regulation of vesicle fusion"
"coated vesicle65","-0.178119658119658","0.383994810754039","ESCA","III","coated vesicle"
"endocytic vesicle65","-0.078974358974359","0.701358818364727","ESCA","III","endocytic vesicle"
"phagocytic vesicle65","-0.127521367521368","0.534732861984589","ESCA","III","phagocytic vesicle"
"secretory vesicle65","-0.166495726495726","0.416270126068813","ESCA","III","secretory vesicle"
"vesicle cytoskeletal trafficking65","-0.00786324786324786","0.969589287145893","ESCA","III","vesicle cytoskeletal trafficking"
"exocytosis65","-0.137094017094017","0.504242428048458","ESCA","III","exocytosis"
"endocytosis65","-0.156239316239316","0.445949406159769","ESCA","III","endocytosis"
"secretion65","-0.305299145299145","0.129357471552146","ESCA","III","secretion"
"intracellular transport65","-0.0304273504273504","0.882695540485209","ESCA","III","intracellular transport"
"intracellular protein transport65","-0.117264957264957","0.568336322614323","ESCA","III","intracellular protein transport"
"transport along microtubule65","0.372991452991453","0.0605554876007663","ESCA","III","transport along microtubule"
"vesicle lumen65","-0.193162393162393","0.344432345204134","ESCA","III","vesicle lumen"
"vesicle membrane65","-0.164444444444444","0.42211696530962","ESCA","III","vesicle membrane"
"vesicle organization65","-0.113846153846154","0.579743367649564","ESCA","III","vesicle organization"
"vesicle targeting65","-0.112478632478632","0.584334137794088","ESCA","III","vesicle targeting"
"vesicle docking65","-0.0803418803418803","0.696426553397315","ESCA","III","vesicle docking"
"clathrin coated vesicle65","-0.104273504273504","0.612204666636092","ESCA","III","clathrin coated vesicle"
"copi coated vesicle65","-0.334700854700855","0.0946600224186946","ESCA","III","copi coated vesicle"
"vesicle tethering65","0.0222222222222222","0.914192618302654","ESCA","III","vesicle tethering"
"intercellular transport65","0.312136752136752","0.120567960447387","ESCA","III","intercellular transport"
"regulation of vesicle fusion65","-0.024957264957265","0.90367723522131","ESCA","III","regulation of vesicle fusion"
"coated vesicle75","-0.5","0.39100221895577","ESCA","IA","coated vesicle"
"endocytic vesicle75","-0.3","0.623837664781073","ESCA","IA","endocytic vesicle"
"phagocytic vesicle75","-0.1","0.872888571569538","ESCA","IA","phagocytic vesicle"
"secretory vesicle75","-0.3","0.623837664781073","ESCA","IA","secretory vesicle"
"vesicle cytoskeletal trafficking75","-0.1","0.872888571569538","ESCA","IA","vesicle cytoskeletal trafficking"
"exocytosis75","-0.3","0.623837664781073","ESCA","IA","exocytosis"
"endocytosis75","-0.1","0.872888571569538","ESCA","IA","endocytosis"
"secretion75","-0.5","0.39100221895577","ESCA","IA","secretion"
"intracellular transport75","0.3","0.623837664781073","ESCA","IA","intracellular transport"
"intracellular protein transport75","0.1","0.872888571569538","ESCA","IA","intracellular protein transport"
"transport along microtubule75","0.6","0.284756979865294","ESCA","IA","transport along microtubule"
"vesicle lumen75","-0.1","0.872888571569538","ESCA","IA","vesicle lumen"
"vesicle membrane75","-0.3","0.623837664781073","ESCA","IA","vesicle membrane"
"vesicle organization75","-0.3","0.623837664781073","ESCA","IA","vesicle organization"
"vesicle targeting75","0","1","ESCA","IA","vesicle targeting"
"vesicle docking75","-0.5","0.39100221895577","ESCA","IA","vesicle docking"
"clathrin coated vesicle75","-0.5","0.39100221895577","ESCA","IA","clathrin coated vesicle"
"copi coated vesicle75","-0.3","0.623837664781073","ESCA","IA","copi coated vesicle"
"vesicle tethering75","0.3","0.623837664781073","ESCA","IA","vesicle tethering"
"intercellular transport75","0.1","0.872888571569538","ESCA","IA","intercellular transport"
"regulation of vesicle fusion75","-0.7","0.188120404374187","ESCA","IA","regulation of vesicle fusion"
"coated vesicle84","0.0021978021978022","0.9940505286659","ESCA","IIIA","coated vesicle"
"endocytic vesicle84","-0.0989010989010989","0.736585369925317","ESCA","IIIA","endocytic vesicle"
"phagocytic vesicle84","-0.182417582417582","0.532508818518695","ESCA","IIIA","phagocytic vesicle"
"secretory vesicle84","-0.010989010989011","0.970258390096969","ESCA","IIIA","secretory vesicle"
"vesicle cytoskeletal trafficking84","-0.16043956043956","0.583752752641341","ESCA","IIIA","vesicle cytoskeletal trafficking"
"exocytosis84","-0.213186813186813","0.464302820039744","ESCA","IIIA","exocytosis"
"endocytosis84","-0.208791208791209","0.473778837309814","ESCA","IIIA","endocytosis"
"secretion84","-0.178021978021978","0.542596952606215","ESCA","IIIA","secretion"
"intracellular transport84","-0.0197802197802198","0.946489227408011","ESCA","IIIA","intracellular transport"
"intracellular protein transport84","-0.0593406593406593","0.840301762690683","ESCA","IIIA","intracellular protein transport"
"transport along microtubule84","0.292307692307692","0.310526320385882","ESCA","IIIA","transport along microtubule"
"vesicle lumen84","0.138461538461538","0.636884991265018","ESCA","IIIA","vesicle lumen"
"vesicle membrane84","-0.138461538461538","0.636884991265018","ESCA","IIIA","vesicle membrane"
"vesicle organization84","-0.279120879120879","0.333845077194554","ESCA","IIIA","vesicle organization"
"vesicle targeting84","0.142857142857143","0.626117476225324","ESCA","IIIA","vesicle targeting"
"vesicle docking84","0.279120879120879","0.333845077194554","ESCA","IIIA","vesicle docking"
"clathrin coated vesicle84","-0.0857142857142857","0.770785031118676","ESCA","IIIA","clathrin coated vesicle"
"copi coated vesicle84","0.147252747252747","0.615418762484725","ESCA","IIIA","copi coated vesicle"
"vesicle tethering84","-0.0021978021978022","0.9940505286659","ESCA","IIIA","vesicle tethering"
"intercellular transport84","0.687912087912088","0.00654004249184181","ESCA","IIIA","intercellular transport"
"regulation of vesicle fusion84","0.204395604395604","0.483346223042223","ESCA","IIIA","regulation of vesicle fusion"
"coated vesicle92","0","1","ESCA","IB","coated vesicle"
"endocytic vesicle92","-0.1","0.872888571569538","ESCA","IB","endocytic vesicle"
"phagocytic vesicle92","0.4","0.504631575468691","ESCA","IB","phagocytic vesicle"
"secretory vesicle92","0.2","0.747060078104662","ESCA","IB","secretory vesicle"
"vesicle cytoskeletal trafficking92","-0.1","0.872888571569538","ESCA","IB","vesicle cytoskeletal trafficking"
"exocytosis92","0.1","0.872888571569538","ESCA","IB","exocytosis"
"endocytosis92","-0.1","0.872888571569538","ESCA","IB","endocytosis"
"secretion92","-0.5","0.39100221895577","ESCA","IB","secretion"
"intracellular transport92","-0.5","0.39100221895577","ESCA","IB","intracellular transport"
"intracellular protein transport92","-0.7","0.188120404374187","ESCA","IB","intracellular protein transport"
"transport along microtubule92","0","1","ESCA","IB","transport along microtubule"
"vesicle lumen92","0.1","0.872888571569538","ESCA","IB","vesicle lumen"
"vesicle membrane92","-0.1","0.872888571569538","ESCA","IB","vesicle membrane"
"vesicle organization92","0.6","0.284756979865294","ESCA","IB","vesicle organization"
"vesicle targeting92","0.2","0.747060078104662","ESCA","IB","vesicle targeting"
"vesicle docking92","0.1","0.872888571569538","ESCA","IB","vesicle docking"
"clathrin coated vesicle92","-0.2","0.747060078104662","ESCA","IB","clathrin coated vesicle"
"copi coated vesicle92","0.3","0.623837664781073","ESCA","IB","copi coated vesicle"
"vesicle tethering92","-0.8","0.104088038661828","ESCA","IB","vesicle tethering"
"intercellular transport92","0.5","0.39100221895577","ESCA","IB","intercellular transport"
"regulation of vesicle fusion92","0.4","0.504631575468691","ESCA","IB","regulation of vesicle fusion"
"coated vesicle30","0.375582595339237","4.15063502234858e-07","LIHC","I","coated vesicle"
"endocytic vesicle30","0.49406724746202","6.54853948844902e-12","LIHC","I","endocytic vesicle"
"phagocytic vesicle30","0.508375932992536","1.26254562360373e-12","LIHC","I","phagocytic vesicle"
"secretory vesicle30","0.46015071879425","2.42154962748486e-10","LIHC","I","secretory vesicle"
"vesicle cytoskeletal trafficking30","0.350329997360021","2.6364160889969e-06","LIHC","I","vesicle cytoskeletal trafficking"
"exocytosis30","0.532709338325293","6.3948846218409e-14","LIHC","I","exocytosis"
"endocytosis30","0.520107039143687","3.08864045450719e-13","LIHC","I","endocytosis"
"secretion30","0.503417572659419","2.25286456156937e-12","LIHC","I","secretion"
"intracellular transport30","0.32000143998848","1.98469946099955e-05","LIHC","I","intracellular transport"
"intracellular protein transport30","0.3000023999808","6.70595775498217e-05","LIHC","I","intracellular protein transport"
"transport along microtubule30","0.371370629034968","5.71258727655177e-07","LIHC","I","transport along microtubule"
"vesicle lumen30","0.350512395900833","2.60290365594606e-06","LIHC","I","vesicle lumen"
"vesicle membrane30","0.516607867137063","4.72732963885392e-13","LIHC","I","vesicle membrane"
"vesicle organization30","0.417378260973912","1.35281212898519e-08","LIHC","I","vesicle organization"
"vesicle targeting30","0.241783665730674","0.00144281193336826","LIHC","I","vesicle targeting"
"vesicle docking30","0.431334149326805","3.86903575844144e-09","LIHC","I","vesicle docking"
"clathrin coated vesicle30","0.430686154510764","4.10577127851752e-09","LIHC","I","clathrin coated vesicle"
"copi coated vesicle30","0.254112367101063","0.000797091635813763","LIHC","I","copi coated vesicle"
"vesicle tethering30","0.270972232222142","0.000337419722085786","LIHC","I","vesicle tethering"
"intercellular transport30","-0.113475892192862","0.139465703927292","LIHC","I","intercellular transport"
"regulation of vesicle fusion30","0.488110495116039","1.27093890966989e-11","LIHC","I","regulation of vesicle fusion"
"coated vesicle113","0.0666666666666667","0.864689784626204","LIHC","IIIC","coated vesicle"
"endocytic vesicle113","0.15","0.700094230969142","LIHC","IIIC","endocytic vesicle"
"phagocytic vesicle113","0.133333333333333","0.732367505236297","LIHC","IIIC","phagocytic vesicle"
"secretory vesicle113","-0.133333333333333","0.732367505236297","LIHC","IIIC","secretory vesicle"
"vesicle cytoskeletal trafficking113","0.566666666666667","0.111632987611491","LIHC","IIIC","vesicle cytoskeletal trafficking"
"exocytosis113","0.216666666666667","0.575514895711926","LIHC","IIIC","exocytosis"
"endocytosis113","0","1","LIHC","IIIC","endocytosis"
"secretion113","-0.0333333333333333","0.932156735540504","LIHC","IIIC","secretion"
"intracellular transport113","0.133333333333333","0.732367505236297","LIHC","IIIC","intracellular transport"
"intracellular protein transport113","0.133333333333333","0.732367505236297","LIHC","IIIC","intracellular protein transport"
"transport along microtubule113","0.533333333333333","0.139226867543978","LIHC","IIIC","transport along microtubule"
"vesicle lumen113","-0.516666666666667","0.154390120986225","LIHC","IIIC","vesicle lumen"
"vesicle membrane113","0","1","LIHC","IIIC","vesicle membrane"
"vesicle organization113","0.183333333333333","0.636819811762894","LIHC","IIIC","vesicle organization"
"vesicle targeting113","0.45","0.224216107492337","LIHC","IIIC","vesicle targeting"
"vesicle docking113","0.05","0.89835280435063","LIHC","IIIC","vesicle docking"
"clathrin coated vesicle113","-0.0166666666666667","0.966054803994686","LIHC","IIIC","clathrin coated vesicle"
"copi coated vesicle113","0.2","0.605901274179553","LIHC","IIIC","copi coated vesicle"
"vesicle tethering113","0.416666666666667","0.264586046747496","LIHC","IIIC","vesicle tethering"
"intercellular transport113","-0.0333333333333333","0.932156735540504","LIHC","IIIC","intercellular transport"
"regulation of vesicle fusion113","0.0333333333333333","0.932156735540504","LIHC","IIIC","regulation of vesicle fusion"
"coated vesicle210","0.256643356643357","0.0390479901517498","LIHC","IIIA","coated vesicle"
"endocytic vesicle210","0.405026223776224","0.000817722477360228","LIHC","IIIA","endocytic vesicle"
"phagocytic vesicle210","0.426660839160839","0.000393900314989981","LIHC","IIIA","phagocytic vesicle"
"secretory vesicle210","0.435270979020979","0.00029049116572355","LIHC","IIIA","secretory vesicle"
"vesicle cytoskeletal trafficking210","0.347814685314685","0.00452575412793466","LIHC","IIIA","vesicle cytoskeletal trafficking"
"exocytosis210","0.382867132867133","0.00164529597743179","LIHC","IIIA","exocytosis"
"endocytosis210","0.456468531468531","0.000132488403021824","LIHC","IIIA","endocytosis"
"secretion210","0.339685314685315","0.00563452705371503","LIHC","IIIA","secretion"
"intracellular transport210","0.252447552447552","0.0424791995384375","LIHC","IIIA","intracellular transport"
"intracellular protein transport210","0.251267482517483","0.0434878619336936","LIHC","IIIA","intracellular protein transport"
"transport along microtubule210","0.309877622377622","0.012004764239014","LIHC","IIIA","transport along microtubule"
"vesicle lumen210","0.300786713286713","0.0149067794913798","LIHC","IIIA","vesicle lumen"
"vesicle membrane210","0.442438811188811","0.000224039801664855","LIHC","IIIA","vesicle membrane"
"vesicle organization210","0.324082167832168","0.00844778163109039","LIHC","IIIA","vesicle organization"
"vesicle targeting210","0.0505244755244755","0.689382613647432","LIHC","IIIA","vesicle targeting"
"vesicle docking210","0.403496503496504","0.000859495395696408","LIHC","IIIA","vesicle docking"
"clathrin coated vesicle210","0.331468531468531","0.00699158570060798","LIHC","IIIA","clathrin coated vesicle"
"copi coated vesicle210","0.24763986013986","0.0467128858826364","LIHC","IIIA","copi coated vesicle"
"vesicle tethering210","0.278277972027972","0.0247968452124616","LIHC","IIIA","vesicle tethering"
"intercellular transport210","-0.124431818181818","0.323357941540554","LIHC","IIIA","intercellular transport"
"regulation of vesicle fusion210","0.487937062937063","3.74105395333224e-05","LIHC","IIIA","regulation of vesicle fusion"
"coated vesicle38","0.380952380952381","0.351812553117565","LIHC","IIIB","coated vesicle"
"endocytic vesicle38","0.30952380952381","0.455644890737582","LIHC","IIIB","endocytic vesicle"
"phagocytic vesicle38","0.333333333333333","0.419753086419753","LIHC","IIIB","phagocytic vesicle"
"secretory vesicle38","0.238095238095238","0.570156320815768","LIHC","IIIB","secretory vesicle"
"vesicle cytoskeletal trafficking38","0.285714285714286","0.492726245016957","LIHC","IIIB","vesicle cytoskeletal trafficking"
"exocytosis38","0.285714285714286","0.492726245016957","LIHC","IIIB","exocytosis"
"endocytosis38","0.238095238095238","0.570156320815768","LIHC","IIIB","endocytosis"
"secretion38","0.166666666666667","0.693238811728395","LIHC","IIIB","secretion"
"intracellular transport38","0.214285714285714","0.610344415645267","LIHC","IIIB","intracellular transport"
"intracellular protein transport38","0.428571428571429","0.28940322484679","LIHC","IIIB","intracellular protein transport"
"transport along microtubule38","0.19047619047619","0.651401495702482","LIHC","IIIB","transport along microtubule"
"vesicle lumen38","-0.0714285714285714","0.866526270675909","LIHC","IIIB","vesicle lumen"
"vesicle membrane38","0.238095238095238","0.570156320815768","LIHC","IIIB","vesicle membrane"
"vesicle organization38","0.261904761904762","0.530922861565801","LIHC","IIIB","vesicle organization"
"vesicle targeting38","0.69047619047619","0.0579903181645727","LIHC","IIIB","vesicle targeting"
"vesicle docking38","0.380952380952381","0.351812553117565","LIHC","IIIB","vesicle docking"
"clathrin coated vesicle38","0.30952380952381","0.455644890737582","LIHC","IIIB","clathrin coated vesicle"
"copi coated vesicle38","0.333333333333333","0.419753086419753","LIHC","IIIB","copi coated vesicle"
"vesicle tethering38","0.404761904761905","0.319888641228816","LIHC","IIIB","vesicle tethering"
"intercellular transport38","-0.857142857142857","0.00653001725471536","LIHC","IIIB","intercellular transport"
"regulation of vesicle fusion38","0.523809523809524","0.182720750539715","LIHC","IIIB","regulation of vesicle fusion"
"coated vesicle47","0.376555497900844","0.00035235748207274","LIHC","II","coated vesicle"
"endocytic vesicle47","0.464446436152649","6.64986037013371e-06","LIHC","II","endocytic vesicle"
"phagocytic vesicle47","0.50154252559083","8.69424416016784e-07","LIHC","II","phagocytic vesicle"
"secretory vesicle47","0.468050379734893","5.51353207089988e-06","LIHC","II","secretory vesicle"
"vesicle cytoskeletal trafficking47","0.325439879239587","0.00223165401155789","LIHC","II","vesicle cytoskeletal trafficking"
"exocytosis47","0.439388650408038","2.31147287825806e-05","LIHC","II","exocytosis"
"endocytosis47","0.459332987405066","8.64394353738973e-06","LIHC","II","endocytosis"
"secretion47","0.390310863719987","0.000203102967270663","LIHC","II","secretion"
"intracellular transport47","0.36447945657814","0.000560444916700487","LIHC","II","intracellular transport"
"intracellular protein transport47","0.362139723571867","0.00061190763189467","LIHC","II","intracellular protein transport"
"transport along microtubule47","0.381008538138591","0.000295577601979513","LIHC","II","transport along microtubule"
"vesicle lumen47","0.344799282985046","0.00114977624775969","LIHC","II","vesicle lumen"
"vesicle membrane47","0.481334025189867","2.71249083616532e-06","LIHC","II","vesicle membrane"
"vesicle organization47","0.374366715411104","0.000383792239719405","LIHC","II","vesicle organization"
"vesicle targeting47","0.144129440067928","0.185513858213587","LIHC","II","vesicle targeting"
"vesicle docking47","0.474824284164347","3.85430355409611e-06","LIHC","II","vesicle docking"
"clathrin coated vesicle47","0.417991414689372","6.2142231252782e-05","LIHC","II","clathrin coated vesicle"
"copi coated vesicle47","0.287438086702203","0.00728631536207858","LIHC","II","copi coated vesicle"
"vesicle tethering47","0.156884758715034","0.149147435683907","LIHC","II","vesicle tethering"
"intercellular transport47","0.144016227180527","0.185863153653277","LIHC","II","intercellular transport"
