"","correlation","pvalue","tumor","stage","process"
"phagocytic vesicle9","-0.542857142857143","0.265702623906705","BRCA","IB","phagocytic vesicle"
"secretory vesicle9","-0.314285714285714","0.544093294460641","BRCA","IB","secretory vesicle"
"vesicle cytoskeletal trafficking9","-0.828571428571429","0.0415626822157433","BRCA","IB","vesicle cytoskeletal trafficking"
"exocytosis9","-0.542857142857143","0.265702623906705","BRCA","IB","exocytosis"
"endocytosis9","-0.142857142857143","0.787172011661808","BRCA","IB","endocytosis"
"secretion9","-0.371428571428571","0.468478134110787","BRCA","IB","secretion"
"intracellular transport9","-0.942857142857143","0.0048046647230322","BRCA","IB","intracellular transport"
"intracellular protein transport9","-0.942857142857143","0.0048046647230322","BRCA","IB","intracellular protein transport"
"transport along microtubule9","-0.885714285714286","0.0188454810495626","BRCA","IB","transport along microtubule"
"vesicle lumen9","-0.142857142857143","0.787172011661808","BRCA","IB","vesicle lumen"
"vesicle membrane9","-0.371428571428571","0.468478134110787","BRCA","IB","vesicle membrane"
"vesicle organization9","-0.942857142857143","0.0048046647230322","BRCA","IB","vesicle organization"
"vesicle targeting9","-0.942857142857143","0.0048046647230322","BRCA","IB","vesicle targeting"
"vesicle docking9","-0.257142857142857","0.622787172011662","BRCA","IB","vesicle docking"
"clathrin coated vesicle9","-0.714285714285714","0.110787172011662","BRCA","IB","clathrin coated vesicle"
"copi coated vesicle9","-0.771428571428571","0.0723965014577259","BRCA","IB","copi coated vesicle"
"vesicle tethering9","-0.428571428571429","0.396501457725948","BRCA","IB","vesicle tethering"
"intercellular transport9","0.257142857142857","0.622787172011662","BRCA","IB","intercellular transport"
"regulation of vesicle fusion9","0.485714285714286","0.328723032069971","BRCA","IB","regulation of vesicle fusion"
"coated vesicle10","0.257142857142857","0.622787172011662","BRCA","II","coated vesicle"
"endocytic vesicle10","0.6","0.208","BRCA","II","endocytic vesicle"
"phagocytic vesicle10","0.485714285714286","0.328723032069971","BRCA","II","phagocytic vesicle"
"secretory vesicle10","0.314285714285714","0.544093294460641","BRCA","II","secretory vesicle"
"vesicle cytoskeletal trafficking10","0.314285714285714","0.544093294460641","BRCA","II","vesicle cytoskeletal trafficking"
"exocytosis10","0.371428571428571","0.468478134110787","BRCA","II","exocytosis"
"endocytosis10","0.371428571428571","0.468478134110787","BRCA","II","endocytosis"
"secretion10","0.428571428571429","0.396501457725948","BRCA","II","secretion"
"intracellular transport10","-0.314285714285714","0.544093294460641","BRCA","II","intracellular transport"
"intracellular protein transport10","-0.314285714285714","0.544093294460641","BRCA","II","intracellular protein transport"
"transport along microtubule10","-0.428571428571429","0.396501457725948","BRCA","II","transport along microtubule"
"vesicle lumen10","0.314285714285714","0.544093294460641","BRCA","II","vesicle lumen"
"vesicle membrane10","0.428571428571429","0.396501457725948","BRCA","II","vesicle membrane"
"vesicle organization10","-0.0857142857142857","0.871743440233236","BRCA","II","vesicle organization"
"vesicle targeting10","0.0285714285714286","0.957154518950437","BRCA","II","vesicle targeting"
"vesicle docking10","-0.371428571428571","0.468478134110787","BRCA","II","vesicle docking"
"clathrin coated vesicle10","0.428571428571429","0.396501457725948","BRCA","II","clathrin coated vesicle"
"copi coated vesicle10","0.0857142857142857","0.871743440233236","BRCA","II","copi coated vesicle"
